language,uni_lemma,lexical_category,category,definition,word_clean,aoa,concreteness,frequency
English (American),belt,nouns,clothing,belt,belt,25.39428676791078,4.9,307
English (American),bench,nouns,furniture_rooms,bench,bench,31.122752354523378,4.87,241
English (American),beside,function_words,locations,beside,beside,33.68775817791739,2.59,304
English (American),better,predicates,descriptive_words,better,better,27.197801378663197,1.91,9742
English (American),bib,nouns,clothing,bib,bib,23.648183674597796,4.79,639
English (American),bicycle,nouns,vehicles,bicycle,bicycle,21.77871249104521,4.89,660
English (American),big,predicates,descriptive_words,big,big,22.25931777062911,3.66,25182
English (American),bird,nouns,animals,bird,bird,17.224492119324236,5,2517
English (American),bite,predicates,action_words,bite,bite,21.93843222383973,4.44,2541
English (American),black,predicates,descriptive_words,black,black,26.65032453394826,3.76,2775
English (American),blanket,nouns,household,blanket,blanket,20.364584241108936,5,957
English (American),block,nouns,toys,block,block,21.47767824557252,4.48,1117
English (American),blow,predicates,action_words,blow,blow,24.100630216525534,3.74,2110
English (American),blue,predicates,descriptive_words,blue,blue,23.520465305593365,3.76,9232
English (American),boat,nouns,vehicles,boat,boat,20.384388304955454,4.93,2544
English (American),book,nouns,toys,book,book,16.378840412498462,4.9,15413
English (American),boots,nouns,clothing,boots,boots,22.762953333636315,5,792
English (American),bottle,nouns,household,bottle,bottle,18.109441114425163,4.91,3023
English (American),bowl,nouns,household,bowl,bowl,22.67450309415727,4.87,1967
English (American),box,nouns,household,box,box,22.36283488674821,4.9,8714
English (American),bread,nouns,food_drink,bread,bread,21.714838666180317,4.92,2959
English (American),break,predicates,action_words,break,break,24.498575833372556,3.71,2940
English (American),bring,predicates,action_words,bring,bring,27.00190998469981,2.55,5164
English (American),broken,predicates,descriptive_words,broken,broken,23.262899073559634,4.11,2733
English (American),broom,nouns,household,broom,broom,23.51056906797502,4.89,282
English (American),brown,predicates,descriptive_words,brown,brown,27.44722287259727,4.48,2294
English (American),brush (object),nouns,household,brush,brush,21.812402640756495,4.54,2162
English (American),bubbles,nouns,toys,bubbles,bubbles,18.447326266810368,4.6,1229
English (American),bucket,nouns,household,bucket,bucket,26.11855610121108,4.96,896
English (American),bug,nouns,animals,bug,bug,21.45346928441042,5,653
English (American),build,predicates,action_words,build,build,27.561167006392587,3.71,2552
English (American),bump,predicates,action_words,bump,bump,25.507631046994266,4.1,1008
English (American),bunny,nouns,animals,bunny,bunny,20.465056141535673,4.97,2386
English (American),bus,nouns,vehicles,bus,bus,21.261211792115443,4.9,3774
English (American),but,function_words,connecting_words,but,but,32.30802214785319,2.04,34537
English (American),butter,nouns,food_drink,butter,butter,24.566501758151283,4.9,1358
English (American),butterfly,nouns,animals,butterfly,butterfly,23.47450828971274,4.93,882
English (American),button,nouns,clothing,button,button,22.084011296770807,4.96,1602
English (American),buy,predicates,action_words,buy,buy,27.61820820612325,3.35,3593
English (American),by,function_words,locations,by,by,28.916261166336813,1.55,5847
English (American),cake,nouns,food_drink,cake,cake,21.93745596797483,4.81,3506
English (American),camera,nouns,household,camera,camera,25.73750398456283,5,1185
English (American),can (auxiliary),function_words,helping_predicates,can (auxiliary),can,27.82698008632811,4.55,175734
English (American),can (object),nouns,household,can (object),can,26.84891293682625,4.55,175734
English (American),candy,nouns,food_drink,candy,candy,22.10696542716163,4.83,704
English (American),car,nouns,vehicles,car,car,17.53434303192908,4.89,13476
English (American),careful,predicates,descriptive_words,careful,careful,26.43412690050291,1.86,6107
English (American),carrots,nouns,food_drink,carrots,carrots,24.037122543158606,5,802
English (American),carry,predicates,action_words,carry,carry,25.681963506798628,4.04,1148
English (American),cat,nouns,animals,cat,cat,17.67814164845057,4.86,5835
English (American),catch,predicates,action_words,catch,catch,25.556075994667953,4.11,2813
English (American),cereal,nouns,food_drink,cereal,cereal,22.086966073355658,4.83,1034
English (American),chair,nouns,furniture_rooms,chair,chair,20.747062695367397,4.58,6382
English (American),chalk,nouns,toys,chalk,chalk,27.572948668482248,4.9,246
English (American),chase,predicates,action_words,chase,chase,28.40000722125352,3.48,251
English (American),cheek,nouns,body_parts,cheek,cheek,23.639051249460564,4.83,159
English (American),cheerios,nouns,food_drink,cheerios,cheerios,23.30250911956345,4.35,59
English (American),cheese,nouns,food_drink,cheese,cheese,18.35624365220089,4.7,4215
English (American),chicken (animal),nouns,animals,chicken (animal),chicken,22.94116221978306,4.8,5636
English (American),chicken (food),nouns,food_drink,chicken (food),chicken,22.755311666095626,4.8,5636
English (American),chin,nouns,body_parts,chin,chin,23.932790792488237,4.89,444
English (American),chips,nouns,food_drink,potato chip,potato chip,23.914163430448284,4.9,23
English (American),chocolate,nouns,food_drink,chocolate,chocolate,25.207246056049254,4.72,2469
English (American),church,nouns,outside,church*,church,26.377623217552873,4.9,547
English (American),clap,predicates,action_words,clap,clap,23.57129610232303,4.16,1106
English (American),clean (action),predicates,action_words,clean (action),clean,24.56600009616096,3.07,7338
English (American),clean (description),predicates,descriptive_words,clean (description),clean,24.16485158037349,3.07,7338
English (American),climb,predicates,action_words,climb,climb,25.941366782032414,4.11,1076
English (American),clock,nouns,household,clock,clock,22.729118690605997,5,1709
English (American),close,predicates,action_words,close,close,24.612899480281406,3.2,3138
English (American),closet,nouns,furniture_rooms,closet,closet,26.33273273898802,4.83,289
English (American),cloud,nouns,outside,cloud,cloud,25.68327028006053,4.54,273
English (American),coat,nouns,clothing,coat,coat,22.77758807471102,4.97,1191
English (American),coffee,nouns,food_drink,coffee,coffee,24.733868049413292,4.81,2249
English (American),coke,nouns,food_drink,coke,coke,28.250686610987113,4.83,184
English (American),cold,predicates,descriptive_words,cold,cold,20.986347269894612,3.85,3891
English (American),comb (object),nouns,household,comb,comb,24.521530115219505,5,639
English (American),cook,predicates,action_words,cook,cook,25.20950610885458,4.32,1634
English (American),cookie,nouns,food_drink,cookie,cookie,18.05879104299356,5,2651
English (American),corn,nouns,food_drink,corn,corn,23.75808620462897,4.96,769
English (American),couch,nouns,furniture_rooms,couch,couch,24.81633921615295,4.71,505
English (American),could,function_words,helping_predicates,could,could,33.0915181485895,1.34,12880
English (American),cover (action),predicates,action_words,cover,cover,28.093896291699608,4.23,902
English (American),cow,nouns,animals,cow,cow,20.23330616534318,4.96,3496
English (American),cracker,nouns,food_drink,cracker,cracker,19.128739975548182,4.96,471
English (American),crayon,nouns,toys,crayon,crayon,22.958268446308498,4.87,1010
English (American),crib,nouns,furniture_rooms,crib,crib,25.54633696377014,4.86,306
English (American),cry,predicates,action_words,cry,cry,22.833033348617004,4,1408
English (American),cup,nouns,household,cup,cup,19.458761353171624,5,5361
English (American),cut,predicates,action_words,cut,cut,26.834383653830635,4.55,3650
English (American),cute,predicates,descriptive_words,cute,cute,26.878579973455473,2.76,1371
English (American),dance,predicates,action_words,dance,dance,23.594173710650814,4.32,1107
English (American),dark,predicates,descriptive_words,dark,dark,26.374254558849202,4.29,1494
English (American),deer,nouns,animals,deer,deer,26.28895723853603,4.86,374
English (American),diaper,nouns,clothing,diaper,diaper,19.45888352722782,4.82,1072
English (American),did,function_words,helping_predicates,did/did ya,did,28.236905169713484,2.45,57888
English (American),dirty,predicates,descriptive_words,dirty,dirty,22.183512254438906,4.23,2706
English (American),dish,nouns,household,dish,dish,26.369638755777036,4.9,312
English (American),do,function_words,helping_predicates,do,do,24.418127084458625,2.46,157341
English (American),does,function_words,helping_predicates,does,does,31.321420112088582,2.24,30079
English (American),dog,nouns,animals,dog,dog,14.594052719227676,4.85,5509
English (American),doll,nouns,toys,doll,doll,21.41564709887175,5,1830
English (American),don't,function_words,helping_predicates,don't,dont,25.29034229368797,2.46,89665
English (American),donkey,nouns,animals,donkey,donkey,27.89414096656381,5,575
English (American),donut,nouns,food_drink,donut,donut,26.088004339085252,4.93,98
English (American),door,nouns,furniture_rooms,door,door,20.2792407612697,4.81,6193
English (American),down,function_words,locations,down,down,19.778758085736765,3.52,31240
English (American),draw,predicates,action_words,draw,draw,26.127344086880825,3.97,4917
English (American),drawer,nouns,furniture_rooms,drawer,drawer,27.477050929051146,4.67,511
English (American),dress (object),nouns,clothing,dress (object),dress,25.175475858275057,4.93,2087
English (American),drink (action),predicates,action_words,drink (action),drink,21.405832133186447,3.77,12546
English (American),drink (beverage),nouns,food_drink,drink (beverage),drink,21.12191463243953,4.76,12546
English (American),drive,predicates,action_words,drive,drive,24.75429950810191,3.86,1883
English (American),drop,predicates,action_words,drop,drop,26.14791694487336,4.21,1105
English (American),dry (action),predicates,action_words,dry (action),dry,26.69818180786187,3.77,3410
English (American),dry (description),predicates,descriptive_words,dry (description),dry,26.486133398623007,3.77,3410
English (American),dryer,nouns,furniture_rooms,dryer,dryer,27.940244672930877,4.79,93
English (American),duck,nouns,animals,duck,duck,17.185401989712528,4.86,2872
English (American),dump,predicates,action_words,dump,dump,29.574191643049147,3.93,626
English (American),each,function_words,quantifiers,each,each,34.433173955126186,2.03,1275
English (American),ear,nouns,body_parts,ear,ear,18.42450761164981,5,1260
English (American),eat,predicates,action_words,eat,eat,19.996890077067878,4.44,18091
English (American),egg,nouns,food_drink,egg,egg,22.122988028871536,4.97,2550
English (American),elephant,nouns,animals,elephant,elephant,23.021554163445344,5,2858
English (American),empty,predicates,descriptive_words,empty,empty,26.56355703829002,3.43,1237
English (American),every,function_words,quantifiers,every,every,32.62625782784631,2.28,1932
English (American),eye,nouns,body_parts,eye,eye,17.19831986641664,4.9,1696
English (American),face,nouns,body_parts,face,face,23.386576805200583,4.87,4356
English (American),fall,predicates,action_words,fall,fall,23.05658646359307,4.04,4547
English (American),fast,predicates,descriptive_words,fast,fast,26.397899335243192,3.32,1814
English (American),feed,predicates,action_words,feed,feed,27.04318304347576,4.17,1696
English (American),find,predicates,action_words,find,find,25.911291431365097,2.63,11096
English (American),fine,predicates,descriptive_words,fine,fine,30.348259169087953,2.61,1791
English (American),finger,nouns,body_parts,finger,finger,21.846032665491855,5,2157
English (American),finish,predicates,action_words,finish,finish,28.14761497515676,2.89,2774
English (American),firetruck,nouns,vehicles,firetruck,firetruck,24.716233162853985,5,149
English (American),first,predicates,descriptive_words,first,first,28.530149212482925,2.76,8389
English (American),fish (animal),nouns,animals,fish (animal),fish,18.978116085220503,5,9298
English (American),fish (food),nouns,food_drink,fish (food),fish,22.085905665472275,5,9298
English (American),fit,predicates,action_words,fit,fit,29.08064200730688,2.7,3997
English (American),fix,predicates,action_words,fix,fix,25.32658824937031,2.93,2929
English (American),flag,nouns,outside,flag,flag,26.39411115381629,4.79,236
English (American),flower,nouns,outside,flower,flower,20.519981351232357,5,1361
English (American),food,nouns,food_drink,food,food,23.490400956729655,4.8,6233
English (American),foot,nouns,body_parts,foot,foot,20.351627730476352,4.9,3505
English (American),for,function_words,locations,for,for,29.21964285739064,1.63,60043
English (American),fork,nouns,household,fork,fork,21.912707160579416,4.9,782
English (American),french fries,nouns,food_drink,french fries,french fries,22.485372598777225,4.87,111
English (American),frog,nouns,animals,frog,frog,22.53087514553091,5,1734
English (American),full,predicates,descriptive_words,full,full,27.307650021326054,3.59,1585
English (American),game,nouns,toys,game,game,26.558324042448465,4.5,2813
English (American),garage,nouns,furniture_rooms,garage,garage,26.95193574573295,4.96,1135
English (American),garbage,nouns,household,garbage,garbage,25.263290629707857,4.69,493
English (American),garden,nouns,outside,garden,garden,28.814903721740233,4.73,1711
English (American),gentle,predicates,descriptive_words,gentle,gentle,27.53063486592105,2.53,955
English (American),get,predicates,action_words,get,get,24.203818250784888,2.38,55665
English (American),giraffe,nouns,animals,giraffe,giraffe,24.848340134105648,4.73,1156
English (American),give,predicates,action_words,give,give,26.131793055183277,2.83,13726
English (American),glass,nouns,household,glass,glass,25.377947756405593,4.82,1069
English (American),glasses,nouns,household,glasses,glasses,23.382539516196495,4.9,985
English (American),gloves,nouns,clothing,gloves,gloves,27.24887506361188,4.97,339
English (American),glue,nouns,toys,glue,glue,29.779166021342032,4.65,672
English (American),go,predicates,action_words,go,go,19.73419022328145,3.15,83559
English (American),good,predicates,descriptive_words,good,good,23.555059836026327,1.64,42780
English (American),goose,nouns,animals,goose,goose,26.868415336421975,4.81,522
English (American),grapes,nouns,food_drink,grapes,grapes,21.87000053388467,5,1148
English (American),grass,nouns,outside,grass,grass,23.421522474544503,4.93,1407
English (American),green,predicates,descriptive_words,green,green,24.864917218093773,4.07,8568
English (American),green beans,nouns,food_drink,green beans,green beans,28.18246325512689,4.9,224
English (American),gum,nouns,food_drink,gum,gum,25.6705889024626,4.89,374
English (American),hair,nouns,body_parts,hair,hair,19.550956015647447,4.97,6378
English (American),hamburger,nouns,food_drink,hamburger,hamburger,24.060486137223638,5,565
English (American),hammer,nouns,household,hammer,hammer,25.908134489269617,4.77,860
English (American),hand,nouns,body_parts,hand,hand,20.888392084906826,4.72,6426
English (American),happy,predicates,descriptive_words,happy,happy,24.111067699312272,2.56,3476
English (American),hard,predicates,descriptive_words,hard,hard,28.34690319460537,3.76,4563
English (American),hat,nouns,clothing,hat,hat,18.800006578327608,4.88,5643
English (American),hate,predicates,action_words,hate,hate,32.742713404389164,1.97,285
English (American),have,predicates,action_words,have,have,26.383343346266226,2.18,80189
English (American),he,function_words,pronouns,he,he,28.39328352610605,3.93,85599
English (American),head,nouns,body_parts,head,head,21.52867556120851,4.75,7286
English (American),hear,predicates,action_words,hear,hear,27.103048512621903,3.66,6278
English (American),heavy,predicates,descriptive_words,heavy,heavy,25.14874997804902,3.37,1182
English (American),helicopter,nouns,vehicles,helicopter,helicopter,24.90634156578962,4.62,729
English (American),help,predicates,action_words,help,help,22.819438880083318,2.56,8981
English (American),hen,nouns,animals,hen,hen,29.623281978610162,4.9,378
English (American),her,function_words,pronouns,her,her,30.0706499832329,3,32518
English (American),here,function_words,locations,here,here,25.0324996525398,3.13,74502
English (American),hers,function_words,pronouns,hers,hers,31.577356326543732,2.61,401
English (American),hide,predicates,action_words,hide,hide,25.6831882822722,3.21,1461
English (American),high,predicates,descriptive_words,high,high,27.021723647237135,3.46,1690
English (American),high chair,nouns,furniture_rooms,high chair,high chair,25.143576833379374,4.83,177
English (American),him,function_words,pronouns,him,him,30.171545513305684,3.54,24073
English (American),his,function_words,pronouns,his,his,30.86529830099037,3.14,25985
English (American),hit,predicates,action_words,hit,hit,24.176504122997176,4.11,2339
English (American),hold,predicates,action_words,hold,hold,25.28951191411586,3.68,6702
English (American),home,nouns,outside,home,home,21.55292850686028,4.11,9648
English (American),horse,nouns,animals,horse,horse,20.598917207238273,5,4162
English (American),hose,nouns,outside,hose,hose,26.925240566139266,4.87,264
English (American),hot,predicates,descriptive_words,hot,hot,17.886174346828543,4.31,4425
English (American),house,nouns,outside,house,house,22.949798098688984,5,12111
English (American),how,function_words,question_words,how,how,30.185466664457547,1.35,31682
English (American),hug,predicates,action_words,hug,hug,22.04054246795061,4.14,1172
English (American),hungry,predicates,descriptive_words,hungry,hungry,24.529656637397714,2.9,2717
English (American),hurry,predicates,action_words,hurry,hurry,27.48425052166916,2.63,865
English (American),hurt (description),predicates,descriptive_words,hurt,hurt,24.88161558121455,3.61,4613
English (American),i,function_words,pronouns,I,i,23.977441347865177,3.93,786
English (American),ice,nouns,food_drink,ice,ice,22.358270283361815,4.89,2197
English (American),ice cream,nouns,food_drink,ice cream,ice cream,21.580952159819738,5,1557
English (American),if,function_words,connecting_words,if,if,34.068154850176526,1.19,31526
English (American),in,function_words,locations,in,in,24.07962150691501,3,276036
English (American),in,function_words,locations,inside/in,inside,24.07962150691501,3,7888
English (American),inside,function_words,locations,inside,inside,28.910801367846076,3.67,7888
English (American),into,function_words,locations,into,into,32.328072400666066,2.3,7862
English (American),is,function_words,helping_predicates,is,is,28.508756906338796,1.59,183357
English (American),it,function_words,pronouns,it,it,25.985519116000557,2.81,297679
English (American),jacket,nouns,clothing,jacket,jacket,23.764267757552943,4.86,655
English (American),jar,nouns,household,jar,jar,30.036814769417507,5,389
English (American),jeans,nouns,clothing,jeans,jeans,27.85718213630826,5,160
English (American),jelly,nouns,food_drink,jelly,jelly,26.459272534245788,4.93,851
English (American),juice,nouns,food_drink,juice,juice,17.663424879988565,4.89,6380
English (American),jump,predicates,action_words,jump,jump,23.05187845463102,4.52,2396
English (American),keys,nouns,household,keys,keys,19.821178140120676,4.89,1273
English (American),kick,predicates,action_words,kick,kick,24.607244736468125,4.33,925
English (American),kiss,predicates,action_words,kiss,kiss,20.97729762630762,4.48,3370
English (American),kitchen,nouns,furniture_rooms,kitchen,kitchen,23.721678813935878,4.97,2439
English (American),kitty,nouns,animals,kitty,kitty,17.76353044822186,4.97,2807
English (American),knee,nouns,body_parts,knee,knee,22.83341234944545,5,1252
English (American),knife,nouns,household,knife,knife,25.180125523737622,4.9,749
English (American),knock,predicates,action_words,knock,knock,25.65520970263338,4.24,1500
English (American),ladder,nouns,outside,ladder,ladder,27.453139889383696,5,836
English (American),lamb,nouns,animals,lamb,lamb,26.77611745254101,4.97,762
English (American),lamp,nouns,household,lamp,lamp,27.707727325952707,4.97,286
English (American),last,predicates,descriptive_words,last,last,31.94810812999018,3.04,6041
English (American),lawn mower,nouns,outside,lawn mower,lawn mower,26.25206641047887,4.93,37
English (American),leg,nouns,body_parts,leg,leg,22.786751225180204,4.83,1696
English (American),lick,predicates,action_words,lick,lick,27.885918786410006,4.52,443
English (American),light (object),nouns,household,light,light,20.167269067810214,4.21,2752
English (American),like (action),predicates,action_words,like,like,25.712763627585442,1.89,80659
English (American),lion,nouns,animals,lion,lion,23.292560818293822,4.96,1972
English (American),listen,predicates,action_words,listen,listen,28.120047324042673,3.47,3194
English (American),little (description),predicates,descriptive_words,little (description),little,25.166304259548355,3.67,39012
English (American),living room,nouns,furniture_rooms,living room,living room,27.67343106925516,4.7,431
English (American),lollipop,nouns,food_drink,lollipop,lollipop,27.20359032793206,4.96,276
English (American),long,predicates,descriptive_words,long,long,30.43920077538411,3.18,5656
English (American),look,predicates,action_words,look,look,24.07200126089267,2.96,68469
English (American),loud,predicates,descriptive_words,loud,loud,27.096587104346657,3.73,1100
English (American),love,predicates,action_words,love,love,22.97930051104563,2.07,5139
English (American),mad,predicates,descriptive_words,mad,mad,28.322211878333118,2.76,839
English (American),make,predicates,action_words,make,make,27.26683722139889,2.67,22678
English (American),me,function_words,pronouns,me,me,21.782136908963487,4.33,58317
English (American),meat,nouns,food_drink,meat,meat,25.21618096142793,4.9,986
English (American),medicine,nouns,household,medicine,medicine,24.410637544584084,4.79,915
English (American),melon,nouns,food_drink,melon,melon,26.929946230882774,4.78,141
English (American),milk,nouns,food_drink,milk,milk,18.304538681163276,4.92,5537
English (American),mine,function_words,pronouns,mine,mine,20.0092783421445,3.56,2670
English (American),mittens,nouns,clothing,mittens,mittens,27.13676422394422,4.89,267
English (American),money,nouns,household,money,money,22.84702188801892,4.54,3251
English (American),monkey,nouns,animals,monkey,monkey,21.75146876358306,4.9,2316
English (American),moon,nouns,outside,moon,moon,21.064582625649372,4.9,1461
English (American),moose,nouns,animals,moose,moose,30.726348818983883,4.97,324
English (American),mop,nouns,household,mop,mop,28.697523528698856,4.97,158
English (American),more,function_words,quantifiers,more,more,19.934125196097916,2.37,23403
English (American),motorcycle,nouns,vehicles,motorcycle,motorcycle,25.424516980060698,4.97,366
English (American),mouse,nouns,animals,mouse,mouse,23.186364426729803,4.83,1784
English (American),mouth,nouns,body_parts,mouth,mouth,20.385274871125226,4.74,6017
English (American),much,function_words,quantifiers,much,much,31.135471437484984,1.69,7404
English (American),muffin,nouns,food_drink,muffin,muffin,26.053662526327358,4.78,219
English (American),my,function_words,pronouns,my,my,24.67561156823274,2.42,30474
English (American),myself,function_words,pronouns,myself,myself,30.826981734088697,2.97,674
English (American),nail (object),nouns,household,nail,nail,27.745919885712205,4.93,268
English (American),napkin,nouns,household,napkin,napkin,24.71066092570806,4.93,393
English (American),naughty,predicates,descriptive_words,naughty,naughty,30.45927863451864,2.04,2904
English (American),necklace,nouns,clothing,necklace,necklace,25.67583784602768,4.96,341
English (American),need,function_words,helping_predicates,need/need to,need,28.517326473959855,1.69,11101
English (American),new,predicates,descriptive_words,new,new,28.242927764036946,2.81,5522
English (American),nice,predicates,descriptive_words,nice,nice,24.731878757128417,2.18,20152
English (American),noisy,predicates,descriptive_words,noisy,noisy,28.238292864810433,3.56,903
English (American),none,function_words,quantifiers,none,none,30.075465085938674,2.59,494
English (American),nose,nouns,body_parts,nose,nose,17.50000892567104,4.89,5607
English (American),not,function_words,quantifiers,not,not,28.331503696333467,2.08,62788
English (American),of,function_words,locations,of,of,32.135421130600605,1.67,72422
English (American),off,function_words,locations,off,off,21.76331515371575,2.79,21580
English (American),old,predicates,descriptive_words,old,old,29.745205894423886,2.72,3975
English (American),on,function_words,locations,on,on,22.07453703332649,3.25,130164
English (American),open (action),predicates,action_words,open,open,21.70959024951605,3.21,8246
English (American),orange (description),predicates,descriptive_words,orange (description),orange,24.48307542955755,4.66,10036
English (American),orange (food),nouns,food_drink,orange (food),orange,22.862362842722305,4.66,10036
English (American),other,function_words,quantifiers,other,other,29.008003039766972,2.04,15644
English (American),our,function_words,pronouns,our,our,31.879580552349164,1.97,6116
English (American),out,function_words,locations,out,out,21.787538623492427,2.73,34288
English (American),outside,nouns,outside,outside,outside,20.10026304783487,4.25,5164
English (American),oven,nouns,furniture_rooms,oven,oven,26.959440376130473,4.97,718
English (American),over,function_words,locations,over,over,27.81126335036735,2.46,23641
English (American),owie,nouns,body_parts,owie/boo boo,owie,19.225364028172503,3.61,101
English (American),owl,nouns,animals,owl,owl,24.378811443862723,4.93,737
English (American),paint (action),predicates,action_words,paint,paint,26.7264001349599,4.79,1346
English (American),pajamas,nouns,clothing,pajamas,pajamas,23.01441672978766,4.73,776
English (American),pancake,nouns,food_drink,pancake,pancake,24.195947688413984,4.86,201
English (American),pants,nouns,clothing,pants,pants,21.997653199154513,4.86,2028
English (American),paper,nouns,household,paper,paper,22.40794784536237,4.93,4643
English (American),park,nouns,outside,park,park,23.44395480659095,4.74,1855
English (American),party,nouns,outside,party,party,26.48232416632208,3.89,2705
English (American),pasta,nouns,food_drink,noodles,noodles,22.2125626020018,4.86,209
English (American),pasta,nouns,food_drink,spaghetti,spaghetti,22.2125626020018,4.86,1466
English (American),peanut butter,nouns,food_drink,peanut butter,peanut butter,24.48646845168075,4.93,323
English (American),peas,nouns,food_drink,peas,peas,24.557921410443495,4.9,2307
English (American),pen,nouns,toys,pen,pen,23.51987496977609,4.92,1411
English (American),pencil,nouns,toys,pencil,pencil,25.06258390684458,4.88,1040
English (American),penguin,nouns,animals,penguin,penguin,27.293224141508716,5,658
English (American),penis,nouns,body_parts,penis*,penis,26.231902171762034,5,35
English (American),penny,nouns,household,penny,penny,26.32129034179081,4.83,575
English (American),pick,predicates,action_words,pick,pick,28.350959500123274,3.82,4884
English (American),pickle,nouns,food_drink,pickle,pickle,25.496142784956177,4.64,191
English (American),picture,nouns,household,picture,picture,24.228451852721275,4.52,6309
English (American),pig,nouns,animals,pig,pig,21.04970478014681,5,2423
English (American),pillow,nouns,household,pillow,pillow,22.179110907856753,5,683
English (American),pizza,nouns,food_drink,pizza,pizza,21.33010054090465,5,2650
English (American),plant,nouns,household,plant,plant,26.161845259337724,4.76,519
English (American),plate,nouns,household,plate,plate,24.38848139227323,4.77,2600
English (American),play,predicates,action_words,play,play,22.50225294745721,3.24,23148
English (American),play dough,nouns,toys,play dough,play dough,27.200019866322975,4.68,124
English (American),play pen,nouns,furniture_rooms,play pen,play pen,30.93414000000259,4.76,13
English (American),pony,nouns,animals,pony,pony,27.149124759679015,4.9,253
English (American),pool,nouns,outside,pool,pool,23.288489299463958,4.77,860
English (American),poor,predicates,descriptive_words,poor,poor,32.66767129734731,2.7,2640
English (American),popcorn,nouns,food_drink,popcorn,popcorn,23.68702745961217,5,195
English (American),popsicle,nouns,food_drink,popsicle,popsicle,25.14044583723922,4.93,120
English (American),porch,nouns,furniture_rooms,porch,porch,29.70353523171374,4.92,84
English (American),potato,nouns,food_drink,potato,potato,25.045299416217585,4.85,594
English (American),potty,nouns,furniture_rooms,potty,potty,21.163868967261262,4.12,991
English (American),pour,predicates,action_words,pour,pour,28.27835611871483,4.14,1410
English (American),present,nouns,toys,present,present,24.99147354255208,3.39,1400
English (American),pretend,predicates,action_words,pretend,pretend,31.275328228201392,2.11,3413
English (American),pretty,predicates,descriptive_words,pretty,pretty,23.70523132395096,2.4,6516
